"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleCondition","SalePrice"
"439",439,"1-STORY 1945 and OLDER","Residential Low Density",40,4280,"Regular","Inside lot","Crawford","Single-family Detached","One story",5,6,1913,2002,"Gable","Wood Shingles","Stucco","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",365,"Unfinished",0,75,440,"Average/Typical",694,0,0,694,0,0,1,0,2,1,4,1,"Good - Masonry Fireplace in main level","Detached from home",1990,"Unfinished",1,352,0,0,34,0,0,0,"Minimum Privacy",0,3,2007,"Normal Sale",90350
"440",440,"1-1/2 STORY FINISHED ALL AGES","Residential Low Density",67,12354,"Regular","Corner lot","Edwards","Single-family Detached","One and one-half story: 2nd level finished",6,8,1920,2000,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","Mimimum Exposure",0,"Unfinished",0,684,684,"Good",684,512,0,1196,0,0,1,0,3,1,7,0,"No Fireplace","Detached from home",2005,"Unfinished",2,528,0,46,0,0,0,0,"Good Privacy",800,8,2009,"Normal Sale",110000
"441",441,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",105,15431,"Regular","Inside lot","Northridge Heights","Single-family Detached","One story",10,5,2008,2008,"Hip","Vinyl Siding","Vinyl Siding","Stone",200,"Excellent","Poured Contrete","Excellent (100+ inches)","Good Exposure",1767,"Average Living Quarters",539,788,3094,"Excellent",2402,0,0,2402,1,0,2,0,2,1,10,2,"Good - Masonry Fireplace in main level","Attached to home",2008,"Finished",3,672,0,72,0,0,170,0,"No Fence",0,4,2009,"Normal Sale",555000
"442",442,"DUPLEX - ALL STYLES AND AGES","Residential Low Density",92,12108,"Regular","Inside lot","Edwards","Duplex","One story",4,4,1955,1955,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",270,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",133,"Unfinished",0,1307,1440,"Average/Typical",1440,0,0,1440,0,0,2,0,4,2,8,0,"No Fireplace","No Garage",1955,"No Garage",0,0,0,0,0,0,0,0,"No Fence",0,9,2008,"Normal Sale",118000
"443",443,"1-1/2 STORY FINISHED ALL AGES","Residential Medium Density",52,6240,"Regular","Inside lot","Brookside","Single-family Detached","One and one-half story: 2nd level finished",5,7,1930,1992,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,1078,1078,"Average/Typical",1128,445,0,1573,0,0,2,0,3,1,8,1,"Good - Masonry Fireplace in main level","Detached from home",1930,"Unfinished",2,360,0,0,0,0,0,0,"No Fence",0,6,2008,"Normal Sale",162900
"444",444,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",53,3922,"Regular","Inside lot","Bloomington Heights","Townhouse End Unit","One story",7,5,2006,2007,"Gable","Wood Shingles","Wd Shng","Brick Face",72,"Good","Poured Contrete","Excellent (100+ inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,1258,1258,"Excellent",1258,0,0,1258,0,0,2,0,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2007,"Finished",3,648,144,16,0,0,0,0,"No Fence",0,6,2007,"Home was not completed when last assessed (associated with New Homes)",172500
"445",445,"2-STORY 1946 and NEWER","Residential Low Density",70,8750,"Regular","Inside lot","College Creek","Single-family Detached","Two story",7,5,1994,1995,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",642,"Unfinished",0,273,915,"Excellent",933,975,0,1908,1,0,2,1,4,1,8,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1994,"Unfinished",2,493,144,133,0,0,0,0,"No Fence",0,7,2008,"Normal Sale",210000
"446",446,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",73,9855,"Regular","Corner lot","Edwards","Single-family Detached","One story",6,5,1956,1956,"Hip","Wood Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,1436,1436,"Fair",1689,0,0,1689,0,0,1,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",1956,"Unfinished",2,480,0,0,0,0,0,0,"Minimum Privacy",0,11,2009,"Normal Sale",127500
"447",447,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",137,16492,"Slightly irregular","Corner lot","NAmes","Single-family Detached","One story",6,6,1966,2002,"Gable","Brick Face","Plywood","None",0,"Good","Cinder Block","Typical (80-89 inches)","No Exposure",247,"Average Rec Room",713,557,1517,"Excellent",1888,0,0,1888,0,0,2,1,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",1966,"Finished",2,578,0,0,0,0,0,0,"No Fence",0,6,2010,"Normal Sale",190000
"448",448,"2-STORY 1946 and NEWER","Residential Low Density",69,11214,"Slightly irregular","Corner lot","Gilbert","Single-family Detached","Two story",7,5,1998,1999,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,930,930,"Good",956,930,0,1886,0,0,2,1,4,1,10,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1998,"Finished",2,431,89,0,0,0,0,0,"No Fence",0,7,2006,"Normal Sale",199900
"449",449,"1-1/2 STORY FINISHED ALL AGES","Residential Medium Density",50,8600,"Regular","Inside lot","Iowa DOT and Rail Road","Single-family Detached","One and one-half story: 2nd level finished",6,6,1937,1950,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,780,780,"Average/Typical",780,596,0,1376,0,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Detached from home",1937,"Unfinished",1,198,0,0,0,0,0,0,"No Fence",0,6,2006,"Normal Sale",119500
"450",450,"1-1/2 STORY FINISHED ALL AGES","Residential Medium Density",50,6000,"Regular","Inside lot","Old Town","Single-family Detached","One and one-half story: 2nd level finished",3,7,1948,2002,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",331,"Unfinished",0,318,649,"Excellent",679,504,0,1183,0,0,1,1,2,1,6,0,"No Fireplace","Detached from home",1981,"Unfinished",1,308,0,176,0,0,0,0,"No Fence",0,6,2007,"Normal Sale",120000
"451",451,"1-STORY 1945 and OLDER","Residential Medium Density",70,5684,"Regular","Inside lot","Old Town","Single-family Detached","One story",6,8,1930,2005,"Hip","Wood Siding","Wood Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,813,813,"Excellent",813,0,0,813,0,0,1,0,2,1,5,0,"No Fireplace","Detached from home",1932,"Unfinished",1,270,0,113,0,0,0,0,"No Fence",0,6,2006,"Normal Sale",110000
"452",452,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",62,70761,"Slightly irregular","Inside lot","Clear Creek","Single-family Detached","One story",7,5,1975,1975,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Good Exposure",655,"Unfinished",0,878,1533,"Average/Typical",1533,0,0,1533,1,0,2,0,2,1,5,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1975,"Unfinished",2,576,200,54,0,0,0,0,"No Fence",0,12,2006,"Normal Sale",280000
"453",453,"2-STORY 1946 and NEWER","Residential Low Density",69,9303,"Slightly irregular","Corner lot","Timberland","Single-family Detached","Two story",6,5,1996,1997,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",42,"Good","Poured Contrete","Excellent (100+ inches)","No Exposure",742,"Unfinished",0,130,872,"Excellent",888,868,0,1756,1,0,2,1,3,1,7,0,"No Fireplace","Attached to home",1996,"Finished",2,422,144,122,0,0,0,0,"No Fence",0,7,2007,"Normal Sale",204000
"454",454,"2-STORY 1946 and NEWER","Floating Village Residential",75,9000,"Regular","Inside lot","Somerset","Single-family Detached","Two story",8,5,2008,2008,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,768,768,"Excellent",786,804,0,1590,0,0,2,1,3,1,6,0,"No Fireplace","Attached to home",2008,"Rough Finished",2,676,0,30,0,0,0,0,"No Fence",0,6,2009,"Normal Sale",210000
"455",455,"DUPLEX - ALL STYLES AND AGES","Residential Low Density",63,9297,"Regular","Inside lot","Mitchell","Duplex","One story",5,5,1976,1976,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",1606,"Unfinished",0,122,1728,"Average/Typical",1728,0,0,1728,2,0,2,0,4,2,8,0,"No Fireplace","Detached from home",1976,"Unfinished",2,560,0,0,0,0,0,0,"No Fence",0,7,2006,"Sale between family members",188000
"456",456,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,9600,"Regular","Inside lot","Northwest Ames","Single-family Detached","One story",7,6,1973,1973,"Hip","Hard Board","Hard Board","Brick Face",320,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",916,"Unfinished",0,326,1242,"Fair",1242,0,0,1242,0,0,1,1,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1973,"Unfinished",2,528,0,0,0,0,0,0,"No Fence",0,9,2007,"Normal Sale",175500
"457",457,"2-STORY 1945 and OLDER","Residential Medium Density",34,4571,"Regular","Inside lot","Old Town","Single-family Detached","Two story",5,5,1916,1950,"Gable","Asbestos Shingles","Asbestos Shingles","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,624,624,"Fair",624,720,0,1344,0,0,1,0,4,1,7,0,"No Fireplace","Detached from home",1916,"Unfinished",3,513,0,0,96,0,0,0,"No Fence",0,5,2008,"Abnormal Sale -  trade, foreclosure, short sale",98000
"458",458,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,53227,"Slightly irregular","Cul-de-sac","Clear Creek","Single-family Detached","One story",4,6,1954,1994,"Flat","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Good Exposure",1116,"Unfinished",0,248,1364,"Excellent",1663,0,0,1663,1,0,1,0,2,1,6,2,"Good - Masonry Fireplace in main level","Attached to home",1954,"Finished",2,529,224,137,0,0,0,0,"No Fence",0,3,2008,"Normal Sale",256000
"459",459,"2-STORY 1945 and OLDER","Residential Medium Density",69,5100,"Regular","Inside lot","Old Town","Single-family Detached","Two story",8,7,1925,1996,"Hip","Stucco","Wd Shng","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,588,588,"Fair",833,833,0,1666,0,0,1,0,3,1,7,1,"Good - Masonry Fireplace in main level","Detached from home",1925,"Unfinished",1,228,192,63,0,0,0,0,"Minimum Privacy",0,6,2008,"Normal Sale",161000
"460",460,"1-1/2 STORY FINISHED ALL AGES","Residential Low Density",69,7015,"Slightly irregular","Corner lot","Brookside","Single-family Detached","One and one-half story: 2nd level finished",5,4,1950,1950,"Gable","Metal Siding","Metal Siding","Brick Common",161,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",185,"Unfinished",0,524,709,"Average/Typical",979,224,0,1203,1,0,1,0,3,1,5,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Detached from home",1950,"Unfinished",1,352,0,0,248,0,0,0,"No Fence",0,7,2009,"Normal Sale",110000
"461",461,"2-STORY 1946 and NEWER","Floating Village Residential",75,8004,"Slightly irregular","Inside lot","Somerset","Single-family Detached","Two story",8,5,2009,2009,"Gable","Vinyl Siding","Vinyl Siding","Stone",110,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",544,"Unfinished",0,288,832,"Excellent",832,1103,0,1935,1,0,2,1,3,1,8,0,"No Fireplace","Built-In (Garage part of house - typically has room above garage)",2009,"Finished",2,552,0,150,0,0,0,0,"No Fence",0,12,2009,"Home was not completed when last assessed (associated with New Homes)",263435
"462",462,"2-STORY 1945 and OLDER","Residential Low Density",60,7200,"Regular","Inside lot","South and West of Iowa State University","Single-family Detached","Two story",7,9,1936,2007,"Gable","Wood Siding","Wood Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",350,"Below Average Living Quarters",210,0,560,"Excellent",575,560,0,1135,1,0,1,0,3,1,6,0,"No Fireplace","Detached from home",1971,"Rough Finished",2,576,256,0,0,0,0,0,"Minimum Privacy",0,4,2009,"Normal Sale",155000
"463",463,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",60,8281,"Slightly irregular","Inside lot","Sawyer","Single-family Detached","One story",5,5,1965,1965,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",553,"Below Average Living Quarters",311,0,864,"Good",864,0,0,864,0,0,1,0,3,1,5,1,"Poor - Ben Franklin Stove","Detached from home",1965,"Unfinished",1,360,0,0,236,0,0,0,"Good Wood",0,12,2009,"Normal Sale",62383
"464",464,"2-STORY 1945 and OLDER","Residential Low Density",74,11988,"Slightly irregular","Inside lot","Crawford","Single-family Detached","Two story",6,7,1934,1995,"Hip","Stucco","Stucco","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",326,"Unfinished",0,389,715,"Fair",849,811,0,1660,0,0,1,1,3,1,6,1,"Good - Masonry Fireplace in main level","Detached from home",1939,"Unfinished",1,240,0,0,0,0,0,0,"No Fence",0,8,2008,"Normal Sale",188700
"465",465,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",60,8430,"Regular","Inside lot","College Creek","Single-family Detached","One story",5,5,1978,1978,"Gable","Hard Board","Hard Board","Brick Face",136,"Average/Typical","Cinder Block","Good (90-99 inches)","No Exposure",616,"Unfinished",0,424,1040,"Average/Typical",1040,0,0,1040,0,0,2,0,3,1,5,0,"No Fireplace","No Garage",1978,"No Garage",0,0,0,0,0,0,0,0,"No Fence",0,8,2009,"Normal Sale",124000
"466",466,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Medium Density",69,3072,"Regular","Inside lot","Bloomington Heights","Townhouse End Unit","One story",7,5,2004,2004,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",18,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1375,1375,"Excellent",1414,0,0,1414,0,0,2,0,2,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",2004,"Finished",2,398,144,20,0,0,0,0,"No Fence",0,5,2006,"Normal Sale",178740
"467",467,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",85,10628,"Regular","Inside lot","NAmes","Single-family Detached","One story",7,5,1970,1970,"Flat","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Good Exposure",778,"Unfinished",0,499,1277,"Average/Typical",1277,0,0,1277,1,0,1,0,2,1,5,1,"Poor - Ben Franklin Stove","Attached to home",1970,"Unfinished",2,526,0,0,0,0,176,0,"Good Wood",0,4,2007,"Normal Sale",167000
"468",468,"2-STORY 1945 and OLDER","Residential Low Density",79,9480,"Regular","Inside lot","NAmes","Single-family Detached","Two story",5,7,1942,1995,"Gable","Metal Siding","Metal Siding","Stone",224,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",386,"Unfinished",0,342,728,"Excellent",888,756,0,1644,0,0,1,1,3,1,7,2,"Good - Masonry Fireplace in main level","Attached to home",1942,"Unfinished",1,312,168,0,0,0,0,0,"No Fence",0,6,2007,"Normal Sale",146500
"469",469,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",98,11428,"Slightly irregular","Inside lot","Northridge Heights","Single-family Detached","One story",8,5,2006,2006,"Gable","Vinyl Siding","Vinyl Siding","Stone",248,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1626,1626,"Excellent",1634,0,0,1634,0,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2006,"Rough Finished",3,866,0,44,0,0,0,0,"No Fence",0,5,2007,"Normal Sale",250000
"470",470,"2-STORY 1946 and NEWER","Residential Low Density",76,9291,"Slightly irregular","Corner lot","Sawyer West","Single-family Detached","Two story",6,5,1993,1993,"Gable","Hard Board","Hard Board","Brick Face",120,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",426,"Unfinished",0,406,832,"Excellent",832,878,0,1710,0,0,2,1,3,1,7,0,"No Fireplace","Attached to home",1993,"Rough Finished",2,506,144,70,0,0,0,0,"No Fence",0,6,2008,"Normal Sale",187000
"471",471,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",69,6820,"Slightly irregular","Corner lot","Stone Brook","Townhouse End Unit","One story",8,5,1985,1985,"Gable","Hard Board","Hard Board","None",0,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",368,"Below Average Living Quarters",1120,0,1488,"Average/Typical",1502,0,0,1502,1,0,1,1,1,1,4,0,"No Fireplace","Attached to home",1985,"Rough Finished",2,528,0,54,0,0,140,0,"No Fence",0,6,2010,"Normal Sale",212000
"472",472,"2-STORY 1946 and NEWER","Residential Low Density",92,11952,"Regular","Inside lot","Northwest Ames","Single-family Detached","Two story",7,6,1977,1977,"Mansard","Wood Shingles","Plywood","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","No Exposure",0,"Unfinished",0,808,808,"Average/Typical",1161,808,0,1969,0,0,2,1,3,1,8,1,"Good - Masonry Fireplace in main level","Attached to home",1977,"Rough Finished",2,534,0,0,0,0,276,0,"No Fence",0,11,2007,"Normal Sale",190000
"473",473,"PUD - MULTILEVEL - INCL SPLIT LEV/FOYER","Residential Medium Density",35,3675,"Regular","Inside lot","Edwards","Townhouse End Unit","Split Level",6,5,2005,2005,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",80,"Average/Typical","Poured Contrete","Good (90-99 inches)","Good Exposure",459,"Unfinished",0,88,547,"Excellent",1072,0,0,1072,1,0,1,0,2,1,5,0,"No Fireplace","Basement Garage",2005,"Rough Finished",2,525,0,28,0,0,0,0,"No Fence",0,6,2008,"Normal Sale",148000
"474",474,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",110,14977,"Slightly irregular","Inside lot","Northridge Heights","Single-family Detached","One story",8,5,2006,2007,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",304,"Good","Poured Contrete","Excellent (100+ inches)","Good Exposure",1350,"Unfinished",0,626,1976,"Excellent",1976,0,0,1976,1,0,2,0,2,1,7,1,"Excellent - Exceptional Masonry Fireplace","Attached to home",2006,"Rough Finished",3,908,250,63,0,0,0,0,"No Fence",0,7,2007,"Home was not completed when last assessed (associated with New Homes)",440000
"475",475,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",41,5330,"Regular","Inside lot","Stone Brook","Townhouse End Unit","One story",8,5,2000,2000,"Gable","Cement Board","CmentBd","None",0,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",1196,"Unfinished",0,298,1494,"Excellent",1652,0,0,1652,1,0,2,0,2,1,6,0,"No Fireplace","Attached to home",2000,"Rough Finished",2,499,96,48,0,0,0,0,"No Fence",0,8,2007,"Normal Sale",251000
"476",476,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,8480,"Regular","Corner lot","Sawyer","Single-family Detached","One story",5,6,1963,1963,"Hip","Hard Board","Hard Board","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",630,"Unfinished",0,340,970,"Average/Typical",970,0,0,970,1,0,1,0,2,1,5,0,"No Fireplace","Detached from home",1996,"Unfinished",2,624,0,24,0,0,192,0,"No Fence",0,7,2007,"Normal Sale",132500
"477",477,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",75,13125,"Regular","Inside lot","College Creek","Single-family Detached","One story",6,5,1997,1998,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",215,"Average/Typical","Poured Contrete","Good (90-99 inches)","Good Exposure",994,"Unfinished",0,484,1478,"Excellent",1493,0,0,1493,1,0,2,0,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1997,"Finished",2,508,140,39,0,0,0,0,"No Fence",0,4,2008,"Normal Sale",208900
"478",478,"2-STORY 1946 and NEWER","Residential Low Density",105,13693,"Regular","Inside lot","Northridge Heights","Single-family Detached","Two story",9,5,2006,2006,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",772,"Excellent","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,2153,2153,"Excellent",2069,574,0,2643,0,0,2,1,3,1,9,1,"Good - Masonry Fireplace in main level","Built-In (Garage part of house - typically has room above garage)",2006,"Finished",3,694,414,84,0,0,0,0,"No Fence",0,3,2007,"Normal Sale",380000
"479",479,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",79,10637,"Regular","Inside lot","College Creek","Single-family Detached","One story",8,5,2007,2008,"Hip","Vinyl Siding","Vinyl Siding","Stone",336,"Good","Poured Contrete","Excellent (100+ inches)","Good Exposure",1288,"Unfinished",0,417,1705,"Excellent",1718,0,0,1718,1,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2007,"Rough Finished",3,826,208,44,0,0,0,0,"No Fence",0,9,2009,"Normal Sale",297000
"480",480,"1-STORY 1945 and OLDER","Residential Medium Density",50,5925,"Regular","Inside lot","Old Town","Single-family Detached","One story",4,7,1937,2000,"Hip","Stucco","Stucco","Brick Common",435,"Average/Typical","Brick and Tile","Fair (70-79 inches)","No Exposure",168,"Unfinished",0,739,907,"Average/Typical",1131,0,0,1131,0,0,1,0,2,1,7,0,"No Fireplace","Detached from home",1995,"Unfinished",2,672,0,72,0,0,0,0,"Minimum Privacy",0,3,2007,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",89471
"481",481,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",98,16033,"Slightly irregular","Frontage on 2 sides of property","Northridge Heights","Single-family Detached","One story",9,5,2004,2005,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",378,"Good","Poured Contrete","Excellent (100+ inches)","Good Exposure",1261,"Unfinished",0,572,1833,"Excellent",1850,0,0,1850,1,0,2,0,3,1,8,1,"Good - Masonry Fireplace in main level","Attached to home",2004,"Finished",3,772,519,112,0,0,0,0,"No Fence",0,3,2006,"Normal Sale",326000
"482",482,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",72,11846,"Slightly irregular","Inside lot","Northridge Heights","Single-family Detached","One story",9,5,2003,2004,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",562,"Good","Poured Contrete","Excellent (100+ inches)","Good Exposure",1567,"Unfinished",0,225,1792,"Excellent",1792,0,0,1792,1,0,2,0,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2003,"Finished",3,874,206,49,0,0,0,0,"No Fence",0,8,2006,"Normal Sale",374000
"483",483,"2-STORY 1945 and OLDER","Residential Medium Density",50,2500,"Regular","Corner lot","Old Town","Single-family Detached","Two story",7,8,1915,2005,"Gable","Stucco","Stucco","None",0,"Good","Poured Contrete","Typical (80-89 inches)","No Exposure",299,"Unfinished",0,611,910,"Excellent",916,910,0,1826,1,0,1,1,4,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",1915,"Unfinished",1,164,0,0,0,0,0,0,"No Fence",0,6,2009,"Normal Sale",155000
"484",484,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Medium Density",32,4500,"Regular","Frontage on 2 sides of property","Mitchell","Twnhs","One story",6,5,1998,1998,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",116,"Average/Typical","Poured Contrete","Excellent (100+ inches)","No Exposure",897,"Unfinished",0,319,1216,"Excellent",1216,0,0,1216,1,0,2,0,2,1,5,0,"No Fireplace","Attached to home",1998,"Unfinished",2,402,0,125,0,0,0,0,"No Fence",0,5,2006,"Normal Sale",164000
"485",485,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,7758,"Slightly irregular","Corner lot","Sawyer","Single-family Detached","One story",5,7,1962,2001,"Gable","Hard Board","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",588,"Unfinished",0,411,999,"Good",999,0,0,999,1,0,1,0,3,1,6,0,"No Fireplace","Detached from home",1963,"Unfinished",1,264,0,132,0,0,0,0,"No Fence",0,3,2007,"Normal Sale",132500
"486",486,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,9600,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,7,1950,2007,"Gable","Metal Siding","Metal Siding","None",0,"Good","Cinder Block","Typical (80-89 inches)","No Exposure",607,"Unfinished",0,506,1113,"Good",1113,0,0,1113,0,0,1,0,3,1,5,1,"Good - Masonry Fireplace in main level","Attached to home",1950,"Unfinished",1,264,0,80,120,0,0,0,"No Fence",0,7,2009,"Normal Sale",147000
"487",487,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",79,10289,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,7,1965,1965,"Hip","Metal Siding","Metal Siding","Brick Face",168,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",836,"Unfinished",0,237,1073,"Average/Typical",1073,0,0,1073,1,0,1,1,3,1,6,0,"No Fireplace","Attached to home",1965,"Rough Finished",2,515,0,0,0,0,0,0,"No Fence",0,6,2007,"Normal Sale",156000
"488",488,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",70,12243,"Slightly irregular","Inside lot","Northwest Ames","Single-family Detached","One story",5,6,1971,1971,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",998,"Unfinished",0,486,1484,"Good",1484,0,0,1484,0,0,2,0,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1971,"Unfinished",2,487,224,0,0,0,180,0,"No Fence",0,2,2007,"Normal Sale",175000
"489",489,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Residential Low Density",60,10800,"Regular","Corner lot","Old Town","2fmCon","One and one-half story: 2nd level finished",5,4,1900,1970,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",664,"Unfinished",0,290,954,"Average/Typical",1766,648,0,2414,0,0,2,0,3,2,10,1,"Good - Masonry Fireplace in main level","Attached to home",1970,"Unfinished",2,520,142,0,0,0,0,0,"No Fence",0,5,2006,"Normal Sale",160000
